2020/12/04 09:00:08 [error] 9#9: *54 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/04 09:00:09 [error] 9#9: *54 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /upadate.php?id=1 HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/04 09:04:10 [error] 9#9: *62 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/04 09:04:12 [error] 9#9: *62 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/create.php"
2020/12/04 09:04:19 [error] 9#9: *62 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/04 09:04:24 [error] 9#9: *62 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /upadate.php?id=1 HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/04 09:05:21 [error] 9#9: *62 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /delete HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021"
2020/12/04 09:05:24 [error] 9#9: *62 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /delete.ph HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021"
2020/12/04 09:05:28 [error] 9#9: *62 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/04 09:05:32 [error] 9#9: *62 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /upadate.php?id=1 HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/04 09:08:29 [error] 9#9: *76 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /upadate.php?id=1 HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/04 09:08:39 [error] 9#9: *76 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/update.php"
2020/12/04 09:09:01 [error] 9#9: *76 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/04 09:09:02 [error] 9#9: *83 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/create.php"
2020/12/04 09:09:04 [error] 9#9: *83 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/04 09:09:06 [error] 9#9: *83 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /upadate.php?id=1 HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/04 09:09:40 [error] 9#9: *83 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/04 09:09:41 [error] 9#9: *83 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /upadate.php?id=1 HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
